"site","username","password","email","first_name","last_name","phone1","phone2","address","short_basket_name","long_basket_name","date_previous_balance","previous_balance","amount_in","amount_out","represent_this_buyinggroup"
3,,,,,,,,,"ZZ-GASAth Pti Dej","ZZ-GASAth Pti Dej",2013-10-31,"263.06",0,0,"True"
3,"username1","demo","username1@ask.it","user","name1","phone1","phone2","address","username1","username1",2013-10-31,"243.48",0,0,"False"
3,"username2","demo","username2@ask.it","user","name2","phone1","phone2","address","username2","username2",2013-10-31,"17.82",0,0,"False"
3,"username3","demo","username3@ask.it","user","name3","phone1","phone2","address","username3","username3",2013-10-31,"-47.37",0,0,"False"
3,"username4","demo","username4@ask.it","user","name4","phone1","phone2","address","username4","username4",2013-10-31,"21.57",0,0,"False"
3,"username5","demo","username5@ask.it","user","name5","phone1","phone2","address","username5","username5",2013-10-31,"38.28",0,0,"False"
3,"username6","demo","username6@ask.it","user","name6","phone1","phone2","address","username6","username6",2013-10-31,"63.54",0,0,"False"
3,"username7","demo","username7@ask.it","user","name7","phone1","phone2","address","username7","username7",2013-10-31,"41.31",0,0,"False"
3,"username8","demo","username8@ask.it","user","name8","phone1","phone2","address","username8","username8",2013-10-31,"6.1",0,0,"False"
3,"username9","demo","username9@ask.it","user","name9","phone1","phone2","address","username9","username9",2013-10-31,"-1.49",0,0,"False"
3,"username10","demo","username10@ask.it","user","name10","phone1","phone2","address","username10","username10",2013-10-31,"1.48",0,0,"False"
3,"username11","demo","username11@ask.it","user","name11","phone1","phone2","address","username11","username11",2013-10-31,"9.89",0,0,"False"
3,"username12","demo","username12@ask.it","user","name12","phone1","phone2","address","username12","username12",2013-10-31,"-2.71",0,0,"False"
3,"username13","demo","username13@ask.it","user","name13","phone1","phone2","address","username13","username13",2013-10-31,"25.88",0,0,"False"
3,"username14","demo","username14@ask.it","user","name14","phone1","phone2","address","username14","username14",2013-10-31,"5.64",0,0,"False"
3,"username15","demo","username15@ask.it","user","name15","phone1","phone2","address","username15","username15",2013-10-31,"61.33",0,0,"False"
3,"username16","demo","username16@ask.it","user","name16","phone1","phone2","address","username16","username16",2013-10-31,"8.55",0,0,"False"
3,"username17","demo","username17@ask.it","user","name17","phone1","phone2","address","username17","username17",2013-10-31,"68.62",0,0,"False"
3,"username18","demo","username18@ask.it","user","name18","phone1","phone2","address","username18","username18",2013-10-31,"-3.07",0,0,"False"
3,"username19","demo","username19@ask.it","user","name19","phone1","phone2","address","username19","username19",2013-10-31,"-7.79",0,0,"False"
3,"username20","demo","username20@ask.it","user","name20","phone1","phone2","address","username20","username20",2013-10-31,"74.87",0,0,"False"
3,"username21","demo","username21@ask.it","user","name21","phone1","phone2","address","username21","username21",2013-10-31,"-68.3",0,0,"False"
3,"username22","demo","username22@ask.it","user","name22","phone1","phone2","address","username22","username22",2013-10-31,"-1.89",0,0,"False"
3,"username23","demo","username23@ask.it","user","name23","phone1","phone2","address","username23","username23",2013-10-31,"64.1",0,0,"False"
3,"username24","demo","username24@ask.it","user","name24","phone1","phone2","address","username24","username24",2013-10-31,"-25.5",0,0,"False"
3,"username25","demo","username25@ask.it","user","name25","phone1","phone2","address","username25","username25",2013-10-31,"0.29",0,0,"False"
3,"username26","demo","username26@ask.it","user","name26","phone1","phone2","address","username26","username26",2013-10-31,0,0,0,"False"
3,"username27","demo","username27@ask.it","user","name27","phone1","phone2","address","username27","username27",2013-10-31,"161.65",0,0,"False"
3,"username28","demo","username28@ask.it","user","name28","phone1","phone2","address","username28","username28",2013-10-31,"-10.65",0,0,"False"
3,"username29","demo","username29@ask.it","user","name29","phone1","phone2","address","username29","username29",2013-10-31,132,0,0,"False"
3,"username30","demo","username30@ask.it","user","name30","phone1","phone2","address","username30","username30",2013-10-31,"-76.6",0,0,"False"
3,"username31","demo","username31@ask.it","user","name31","phone1","phone2","address","username31","username31",2013-10-31,"15.21",0,0,"False"
3,"username32","demo","username32@ask.it","user","name32","phone1","phone2","address","username32","username32",2013-10-31,"41.09",0,0,"False"
3,,,,,,,,,"ZZ-GASAth Apero","ZZ-GASAth Apero",2013-10-31,0,0,0,"False"
4,,,,,,,,,"ZZ-GASAth Apero","ZZ-GASAth Apero",2013-10-31,0,0,0,"True"
4,,,,,,,,,"ZZ-GASAth Pti Dej","ZZ-GASAth Pti Dej",2013-10-31,0,0,0,"False"
4,"username33","demo","username33@ask.it","user","name33","phone1","phone2","address","username33","username33",2013-10-31,0,0,0,"False"
4,"username34","demo","username34@ask.it","user","name34","phone1","phone2","address","username34","username34",2013-10-31,0,0,0,"False"
4,"username35","demo","username35@ask.it","user","name35","phone1","phone2","address","username35","username35",2013-10-31,0,0,0,"False"
4,"username36","demo","username36@ask.it","user","name36","phone1","phone2","address","username36","username36",2013-10-31,0,0,0,"False"
4,"username37","demo","username37@ask.it","user","name37","phone1","phone2","address","username37","username37",2013-10-31,0,0,0,"False"
4,"username38","demo","username38@ask.it","user","name38","phone1","phone2","address","username38","username38",2013-10-31,0,0,0,"False"
4,"username39","demo","username39@ask.it","user","name39","phone1","phone2","address","username39","username39",2013-10-31,0,0,0,"False"
4,"username40","demo","username40@ask.it","user","name40","phone1","phone2","address","username40","username40",2013-10-31,0,0,0,"False"
4,"username41","demo","username41@ask.it","user","name41","phone1","phone2","address","username41","username41",2013-10-31,0,0,0,"False"
4,"username42","demo","username42@ask.it","user","name42","phone1","phone2","address","username42","username42",2013-10-31,0,0,0,"False"
4,"username43","demo","username43@ask.it","user","name43","phone1","phone2","address","username43","username43",2013-10-31,0,0,0,"False"
4,"username44","demo","username44@ask.it","user","name44","phone1","phone2","address","username44","username44",2013-10-31,0,0,0,"False"
4,"username45","demo","username45@ask.it","user","name45","phone1","phone2","address","username45","username45",2013-10-31,0,0,0,"False"
4,"username46","demo","username46@ask.it","user","name46","phone1","phone2","address","username46","username46",2013-10-31,0,0,0,"False"
4,"username47","demo","username47@ask.it","user","name47","phone1","phone2","address","username47","username47",2013-10-31,0,0,0,"False"
4,"username48","demo","username48@ask.it","user","name48","phone1","phone2","address","username48","username48",2013-10-31,0,0,0,"False"
4,"username49","demo","username49@ask.it","user","name49","phone1","phone2","address","username49","username49",2013-10-31,0,0,0,"False"
5,,,,,,,,,"ZZ-Le Panier Lensois","ZZ-Le Panier Lensois",2013-10-31,0,0,0,"True"
5,"username50","demo","username50@ask.it","user","name50","phone1","phone2","address","username50","username50",2013-10-31,0,0,0,"False"
5,"username51","demo","username51@ask.it","user","name51","phone1","phone2","address","username51","username51",2013-10-31,0,0,0,"False"
5,"username52","demo","username52@ask.it","user","name52","phone1","phone2","address","username52","username52",2013-10-31,0,0,0,"False"
5,"username53","demo","username53@ask.it","user","name53","phone1","phone2","address","username53","username53",2013-10-31,0,0,0,"False"
5,"username54","demo","username54@ask.it","user","name54","phone1","phone2","address","username54","username54",2013-10-31,0,0,0,"False"
5,"username55","demo","username55@ask.it","user","name55","phone1","phone2","address","username55","username55",2013-10-31,0,0,0,"False"
5,"username56","demo","username56@ask.it","user","name56","phone1","phone2","address","username56","username56",2013-10-31,0,0,0,"False"
5,"username57","demo","username57@ask.it","user","name57","phone1","phone2","address","username57","username57",2013-10-31,0,0,0,"False"
5,"username58","demo","username58@ask.it","user","name58","phone1","phone2","address","username58","username58",2013-10-31,0,0,0,"False"
5,"username59","demo","username59@ask.it","user","name59","phone1","phone2","address","username59","username59",2013-10-31,0,0,0,"False"
5,"username60","demo","username60@ask.it","user","name60","phone1","phone2","address","username60","username60",2013-10-31,0,0,0,"False"
5,"username61","demo","username61@ask.it","user","name61","phone1","phone2","address","username61","username61",2013-10-31,0,0,0,"False"
5,"username62","demo","username62@ask.it","user","name62","phone1","phone2","address","username62","username62",2013-10-31,0,0,0,"False"
5,"username63","demo","username63@ask.it","user","name63","phone1","phone2","address","username63","username63",2013-10-31,0,0,0,"False"
5,"username64","demo","username64@ask.it","user","name64","phone1","phone2","address","username64","username64",2013-10-31,0,0,0,"False"
5,"username65","demo","username65@ask.it","user","name65","phone1","phone2","address","username65","username65",2013-10-31,0,0,0,"False"
5,"username66","demo","username66@ask.it","user","name66","phone1","phone2","address","username66","username66",2013-10-31,0,0,0,"False"
5,"username67","demo","username67@ask.it","user","name67","phone1","phone2","address","username67","username67",2013-10-31,0,0,0,"False"
5,"username68","demo","username68@ask.it","user","name68","phone1","phone2","address","username68","username68",2013-10-31,0,0,0,"False"
5,"username69","demo","username69@ask.it","user","name69","phone1","phone2","address","username69","username69",2013-10-31,0,0,0,"False"
5,"username70","demo","username70@ask.it","user","name70","phone1","phone2","address","username70","username70",2013-10-31,0,0,0,"False"
5,"username71","demo","username71@ask.it","user","name71","phone1","phone2","address","username71","username71",2013-10-31,0,0,0,"False"
5,"username72","demo","username72@ask.it","user","name72","phone1","phone2","address","username72","username72",2013-10-31,0,0,0,"False"
5,"username73","demo","username73@ask.it","user","name73","phone1","phone2","address","username73","username73",2013-10-31,0,0,0,"False"
5,"username74","demo","username74@ask.it","user","name74","phone1","phone2","address","username74","username74",2013-10-31,0,0,0,"False"
5,"username75","demo","username75@ask.it","user","name75","phone1","phone2","address","username75","username75",2013-10-31,0,0,0,"False"
