"site","username","password","email","first_name","last_name","phone1","phone2","fax","bank_account","address","short_profile_name","long_profile_name","memo","date_previous_balance","previous_balance","amount_in","amount_out","represent_this_buyinggroup"
3,,,,,,,,,"IBAN","address","ZZC-CRASEN","ZZC-CRASEN","Mémo ZZC-CRASEN",2013-10-31,0,0,0,"False"
3,,,,,,,,,"IBAN","address","ZZC-GASATH ASBL","ZZC-GASATH ASBL","Mémo ZZC-GASATH ASBL",2013-10-31,0,0,0,"False"
3,,,,,,,,,"IBAN","address","ZZC-SITE WEB","ZZC-SITE WEB","Mémo ZZC-SITE WEB",2013-10-31,0,0,0,"False"
3,,,,,,,,,"IBAN","address","ZZC-COTISATIONS PTI DEJ","ZZC-COTISATIONS PTI DEJ","Mémo ZZC-COTISATIONS PTI DEJ",2013-10-31,0,0,0,"True"
3,"BELOEIL","demo","BELOEIL@ask.it","BELOEIL","demo","phone1","phone2","fax","IBAN","address","BELOEIL","BELOEIL","Mémo BELOEIL",2013-10-31,0,0,0,"False"
3,"BLONDEEL","demo","BLONDEEL@ask.it","BLONDEEL","demo","phone1","phone2","fax","IBAN","address","BLONDEEL","BLONDEEL","Mémo BLONDEEL",2013-10-31,0,0,0,"False"
3,"BRUYERE","demo","BRUYERE@ask.it","BRUYERE","demo","phone1","phone2","fax","IBAN","address","BRUYERE","BRUYERE","Mémo BRUYERE",2013-10-31,0,0,0,"False"
3,"CAUCHIE","demo","CAUCHIE@ask.it","CAUCHIE","demo","phone1","phone2","fax","IBAN","address","CAUCHIE","CAUCHIE","Mémo CAUCHIE",2013-10-31,0,0,0,"False"
3,"D'HONDT","demo","D'HONDT@ask.it","D'HONDT","demo","phone1","phone2","fax","IBAN","address","D'HONDT","D'HONDT","Mémo D'HONDT",2013-10-31,0,0,0,"False"
3,"DORLOU","demo","DORLOU@ask.it","DORLOU","demo","phone1","phone2","fax","IBAN","address","DORLOU","DORLOU","Mémo DORLOU",2013-10-31,0,0,0,"False"
