"site","username","password","email","first_name","last_name","long_name","customer_responsible","permission"
3,"ptidej-web","demo","ptidej-web@ask.it","Webmaster","Ptidej","Webmaster Ptidej","Bawamby","Webmaster"
3,"ptidej-cde","demo","ptidej-cde@ask.it","Order","Ptidej","Order Ptidej","Bawamby","Order"
3,"ptidej-adm","demo","ptidej-adm@ask.it","Administration","Ptidej","Administration Ptidej","Bawamby","Administration"
3,"ptidej-cpt","demo","ptidej-cpt@ask.it","Account","Ptidej","Account Ptidej","Bawamby","Account"
4,"apero-web","demo","apero-web@ask.it","Webmaster","Apéro","Webmaster Apéro","Amores","Webmaster"
4,"apero-cde","demo","apero-cde@ask.it","Order","Apéro","Order Apéro","Amores","Order"
4,"apero-adm","demo","apero-adm@ask.it","Administration","Apéro","Administration Apéro","Amores","Administration"
4,"apero-cpt","demo","apero-cpt@ask.it","Account","Apéro","Account Apéro","Amores","Account"
5,"lelensois-web","demo","lelensois-web@ask.it","Webmaster","Le Lensois","Webmaster Le Lensois","1003-Philippe","Webmaster"
5,"lelensois-cde","demo","lelensois-cde@ask.it","Order","Le Lensois","Order Le Lensois","1003-Philippe","Order"
5,"lelensois-adm","demo","lelensois-adm@ask.it","Administration","Le Lensois","Administration Le Lensois","1003-Philippe","Administration"
5,"lelensois-cpt","demo","lelensois-cpt@ask.it","Account","Le Lensois","Account Le Lensois","1003-Philippe","Account"
